ABCA13
ABCA17P
ABCF2
ACE
ACER2
ACOT11
ACSBG1
ADAP2
AHCTF1
ANKRD37
AP4B1
ARF6
ARGFX
ARHGAP11A
ARHGAP5
ARL11
ARL4D
ARL8B
ARSD
ATG12
ATG2A
ATG3
ATG9B
ATP6V1E1
ATP8B1
ATP9B
AVPI1
B4GALNT2
BAG5
BATF3
BCDIN3D
BCL2L11
BCYRN1
BHMT
BIK
BNIP2
BRDT
BRMS1L
BTG3
BTK
BYSL
C12orf60
C15orf39
C15orf41
C16orf70
C16orf72
C17orf51
C17orf80
C18orf25
C19orf47
C19orf48
C21orf91
C22orf46
C2orf16
C2orf49
C3
C8orf33
C9orf64
CCDC126
CCDC142
CCDC144B
CCDC144NL
CCDC86
CCK
CCNA1
CCNDBP1
CCNE1
CD3EAP
CDAN1
CDC20
CDC25B
CDKN1A
CEACAM22P
CENPA
CEP350
CEP97
CES1
CFL2
CHD1
CILP
CITED1
CLEC2L
CLK4
CLPTM1L
CNPY4
COMP
CORO1A
COX6B2
CRHBP
CRY2
CST1
CTNNBL1
CTSB
CUL2
D2HGDH
DBF4B
DBR1
DCLRE1B
DCTN5
DDX21
DDX31
DDX3X
DDX49
DDX53
DHDH
DLEU7
DLL3
DLL4
DMBX1
DNAJB1
DNAJB4
DNAJB9
DNAJC15
DPRX
DPY19L2P2
DQX1
DR1
DRAM1
DRG1
DUXA
DYNLL2
DYNLT3
EBNA1BP2
EID3
EIF1AD
EIF3J
EIF4A3
ELL
EML6
EXOSC6
F11R
F2RL1
FAM122C
FAM126B
FAM13B
FAM151A
FAM162B
FAM19A3
FAM27C
FAM50B
FASTKD5
FBXL20
FBXL3
FBXO31
FBXO6
FKBPL
FOXE1
FOXI3
FOXR1
FRAT2
FRG1
FRG2C
FRMD4B
FRMD8
FUNDC1
FYTTD1
GABARAPL1
GABRQ
GAGE2A
GAR1
GATA6
GBA3
GBX2
GCK
GDPD1
GEMIN6
GEMIN8P4
GINS3
GIP
GPCPD1
GPR37L1
GPR50
GRPEL1
GTF2A1
GTF2A2
HAT1
HBA1
HES2
HIST1H2AA
HIST1H2AC
HIST1H2AG
HIST1H2AL
HIST1H2BC
HIST1H2BD
HIST1H2BE
HIST1H2BH
HIST1H2BJ
HIST1H2BN
HIST1H2BO
HIST1H3A
HIST1H3C
HIST1H3D
HIST1H3H
HIST1H4H
HIST2H2AA4
HIST2H2BF
HK2
HOXA1
HSPA2
IER3
IFIT5
IMP4
IMPDH1
IPP
IPPK
ISG20L2
ITGAL
ITGAX
ITGB1BP2
JAGN1
JRKL
KBTBD6
KCNV2
KHDC1L
KITLG
KLF16
KLF17
KLHL21
KLK15
KPTN
KTI12
LAMA3
LARP1B
LARP4
LEUTX
LGALS4
LHX6
LIN54
LLPH
LMBR1L
LONRF3
LRP4
LRRC57
LUZP1
LYSMD1
MAGEB1
MAGEB2
MAP3K13
MAPK1
MAST2
MBD3L2
MBD3L3
MBD3L5
MDM2
MED7
MED9
MFN1
MFSD11
MKRN3
MLF1
MORC3
MOSPD1
MPP5
MRPS23
MT1A
MYC
MYLK3
MYO5A
NANOGNB
NAP1L5
NBAS
NBPF9
NEU1
NF2
NFKBIL1
NIP7
NKIRAS1
NKX2-5
NMNAT1
NMT2
NMUR2
NOL6
NOL9
NOLC1
NPPC
NPTX2
NR0B1
NR4A2
NSUN4
NUDT4
NUP153
NUPR1
NUSAP1
NXT1
OSBPL6
OTUD6A
OVOL1
OXSM
OXSR1
PAGE2B
PAGE4
PCBP4
PCDHGA12
PDCD2L
PDCL3
PDE12
PDP2
PGBD2
PGF
PHLDA2
PHLDB3
PHOSPHO1
PIGH
PIK3CB
PIK3R4
PIM1
PKN2
PLA2G15
PLIN3
PLK1
PLLP
PLSCR4
PLXNB3
PNMA1
PNO1
POLDIP3
POLH
POLR3C
POLR3H
POLR3K
POMC
POTEF
PPARGC1B
PPP1R15B
PPTC7
PQLC1
PRAF2
PRAME
PRAMEF1
PRAMEF10
PRAMEF11
PRAMEF12
PRAMEF14
PRAMEF15
PRAMEF17
PRAMEF18
PRAMEF19
PRAMEF2
PRAMEF20
PRAMEF5
PRAMEF6
PRAMEF8
PRKAA1
PRKAG1
PRKD2
PRPF18
PRPH
PRPSAP1
PRR13
PRR23A
PRR23B
PRSS41
PSPC1
PTCD1
PTPN2
PUF60
QRICH2
RAB21
RAB33B
RAB6A
RAD51C
RB1CC1
RBM15
RBM44
RBM5
RBM8A
RBMXL3
RBP7
RCL1
RDH10
RELB
REM1
REM2
REV3L
REXO4
RFK
RFPL1
RFPL2
RFPL4A
RFPL4B
RGS10
RHEBL1
RHOXF2B
RLIM
RMND1
RNF11
RNF113B
RNF115
RNF125
RNF168
RPA4
RPF2
RPGRIP1
RPL10L
RPL32P3
RPLP0P2
RPP14
RRP12
RRP8
RRP9
SAMD8
SARS
SATB2
SBNO1
SEMA4C
SENP5
SHQ1
SIAH1
SIRT4
SIX2
SLAIN2
SLBP
SLC11A1
SLC12A6
SLC16A6
SLC1A6
SLC25A18
SLC25A19
SLC2A14
SLC2A3
SLC30A1
SLC34A2
SLC35E4
SLC4A1AP
SLC6A3
SLC6A8
SMG1
SNAPC2
SNAPC4
SNF8
SNUPN
SOAT1
SOAT2
SP1
SPATA5L1
SPESP1
SPIC
SPRED2
SPRYD3
SRFBP1
SRSF8
SSX3
STAM
STYX
SUPT7L
SURF6
SYNGR4
TAF12
TAF13
TAF5
TAF7L
TAS1R1
TBC1D13
TCHH
TESK2
TEX11
TFAM
TFAP2C
TFB2M
TFPT
TGS1
THOC5
TIGD7
TIMM50
TIMM8A
TKTL1
TMEM167B
TMEM30A
TMEM41B
TMEM70
TMF1
TNFSF9
TOP3A
TOPORS
TOR1B
TOX4
TPPP
TPRX1
TRAPPC6B
TRIM29
TRIM43
TRIM43B
TRIM48
TRIM49
TRIM60
TRIM61
TRMT61A
TRPM6
TRPM7
TSKS
TSPYL6
TTC4
TUBA3C
TXNDC11
UAP1
UBE2S
UBP1
UBR1
UBXN1
UBXN6
ULK2
URB1
USP29
USP7
UTP23
VMO1
VPS37C
VPS54
WDR3
WDR43
WDR45
WDR46
WDR66
WDR73
WDR83
WNT10B
YAF2
YIPF4
YOD1
YPEL2
YY1
ZBTB10
ZBTB24
ZCCHC8
ZFAND5
ZFP28
ZFYVE19
ZIM3
ZMAT3
ZMAT5
ZNF100
ZNF107
ZNF124
ZNF134
ZNF157
ZNF211
ZNF217
ZNF221
ZNF230
ZNF256
ZNF257
ZNF26
ZNF273
ZNF280A
ZNF284
ZNF30
ZNF324B
ZNF451
ZNF471
ZNF485
ZNF493
ZNF506
ZNF528
ZNF530
ZNF534
ZNF557
ZNF565
ZNF568
ZNF576
ZNF578
ZNF584
ZNF586
ZNF592
ZNF595
ZNF596
ZNF597
ZNF611
ZNF639
ZNF674
ZNF679
ZNF680
ZNF681
ZNF7
ZNF707
ZNF735
ZNF749
ZNF764
ZNF778
ZNF79
ZNF791
ZNF800
ZNF816
ZNF823
ZNF826P
ZNF829
ZNF841
ZNF845
ZNF876P
ZNF878
ZNF90
ZNFX1
ZNHIT6
ZSCAN4
ZSCAN5A
ZSCAN5B
ZZEF1
