AL645728.1
NMNAT1
EXOSC10-AS1
AL021155.4
PRAMEF12
PRAMEF1
PRAMEF11
PRAMEF30P
HNRNPCL1
PRAMEF2
PRAMEF4
PRAMEF10
PRAMEF6
PRAMEF28P
PRAMEF27
HNRNPCL3
PRAMEF25
PRAMEF35P
HNRNPCL2
PRAMEF9
PRAMEF13
PRAMEF18
PRAMEF31P
PRAMEF5
PRAMEF8
PRAMEF33
PRAMEF15
PRAMEF14
PRAMEF19
PRAMEF17
PRAMEF20
RSRP1
AL031432.3
GPATCH3
ACTG1P20
AL020997.1
ATP5IF1
PHACTR4
YTHDF2
YRDC
MFSD2A
AL663070.2
KLF17
OOSP1P1
AL592166.1
SNORD46
GPBP1L1
AL604028.2
STIL
FOXD2-AS1
PRPF38A
TCEANC2
USP1
GADD45A
C1orf52
BRDT
EPHX4
PRPF38B
WDR47
TAF13
PTPN22
H3-2
ANKRD35
AC239801.1
AC245297.1
H2BC21
SCNM1
CHTOP
ASH1L-AS1
DAP3P1
AL353807.1
AL353807.2
RIT1
SNORA80E
AL354714.4
AL592295.3
AL592295.1
DUSP12
TOR1AIP2
OVAAL
GLUL
KDM5B
AC096645.1
YOD1
AL606468.1
AL356010.1
BECN2
TFB2M
AHCTF1
ZNF669
SOX11
SNORA80B
ODC1-DT
E2F6
UBXN2A
TPM3P7
TRIM54
FTH1P3
AC020604.1
FOXN2
ATP1B3P1
AC073263.1
AC007681.1
TGOLN2
MAT2A
SNORD94
TEX37
AC133104.2
TRIM64FP
TRIM43
TRIM43CP
AC017099.2
UBTFL6
AC012360.3
BCL2L11
EN1
MED15P5
CCDC115
NEK2P4
DLX1
DLX2
DLX2-DT
GPR155
GLS
C2orf69
BZW1
AC079354.1
SNORD11B
SNORD11
AC064836.3
SNAI1P1
LINC01494
AC097468.2
DNPEP
AC053503.1
SNORD82
AC017104.5
GBX2
CIDECP1
HRH1
NKIRAS1
UBP1
UBE2FP1
EIF1B
CCK
CCDC12
QRICH1
AC006252.1
AC104435.2
SHQ1
LINC00973
ZBTB11
BZW1P2
ARHGAP31-AS1
ISY1
RPL32P3
SNORA7B
CDV3
AC117382.1
NCK1-DT
AC096992.2
DBR1
PRR23A
PRR23C
AC133435.1
LINC01487
EIF5A2
ZNF639
TRA2B
AC046143.2
FAM43A
UBXN7
UBXN7-AS1
RNF168
SMCO1
SENP5
NCBP2AS2
FRG2FP
ZNF519P4
RNF4
SLC34A2
AC105389.1
ARL9
ART3
LIN54
NAP1L5
TBCAP3
AC019131.1
AC019131.3
RNU7-149P
H2AZ1
H2AZ1-DT
ANKRD50
AC073429.2
USP38
AC095055.1
FBXW7
AC106872.1
FAM218A
AC106872.9
AC106872.8
AC106872.11
CDKN2AIP
AC108477.2
CFAP97
CCDC110
SLC6A3
ZNF622
H3Y2
AC106774.1
H3P18
TAF11L11
TAF11L12
H3P21
AC233724.5
H3Y1
AC233724.8
GUSBP1
AC008766.1
TTC23L
AC117532.1
AC114977.1
AC008945.2
PPIAP77
PRELID3BP4
PRELID3BP7
AC008875.2
AC008875.1
AC025171.3
AC025171.5
RPS17P11
AC025176.1
CRHBP
ELL2
ATG12
LINC02214
PHAX
FAM13B
FAM53C
HBEGF
SPRY4
SPINK7
IL17B
SLC36A2
AC008385.1
KIAA1191
HNRNPAB
CLK4
AC113348.3
AC136628.1
AC008443.3
IRF4
ID4
H2BC3
H2AC5P
H3C3
H1-6
H2BC4
H2AC6
H2BC5
H2BC6
H4C5
H2BC8
H3C7
H2BC9
H2BC11
H2AC11
H4C9
AL031229.1
H4C10P
H2BC13
H2AC13
H3C10
H2BC16P
H2AC16
H2AC17
H2BC17
OR2W6P
OR2B6
RPLP2P1
HCG14
HCG15
DDAH2
HLA-DRB5
CYCSP55
DINOL
NFYA
POLR1C
POLH
MAD2L1BP
LINCMD1
LINC00680
PTP4A1
KHDC1P1
AL365232.1
KHDC1
AL121972.1
PNRC1
AL024507.3
RPF2
RFPL4B
AL590550.1
CEP85L
SGK1
AL355881.2
LINC02865
AL049844.2
AL023806.4
AL596202.1
AL356417.2
AC005682.1
TRA2A
AC006970.2
ZNF716
NCOR1P3
ZNF733P
ZNF722P
ZNF735
ZNF679
ZNF736
AC073270.2
TPST1
AC006001.3
STAG3L4
SBDSP1
STAG3L2
APTR
TAC1
NPTX2
BUD31
ZNF394
AP4M1
CNPY4
MBLAC1
NRF1
AC084864.1
PRSS58
ATP5PBP3
NOM1
RPL23AP53
ZNF596
AC004908.2
ZNF705G
MIR320A
RNU6-1218P
AC103843.1
AC009597.1
TCF24
AC110998.1
H2AZP2
KLF10
CASC11
ZNF707
AC234917.3
C8orf33
AL353151.1
ACTG1P14
AL358117.1
SMIM27
AL357874.2
C9orf85
LINC01474
RFK
RPSAP9
MFSD14B
NANS
AL590381.1
CDC26
POLE3
HSPA5
CDK9
SLC25A25
GATA3-AS1
NMT2
PPIAP30
AL590365.1
STAM
MASTL
CUL2
LINC00839
LINC01518
MSMB
MRLN
AL513321.2
SIRT1
RPS25P9
AL356095.1
C1DP3
C1DP2
C1DP4
TMEM254-AS1
BTAF1
XRCC6P1
R3HCC1L
SNORA12
MRPL43
TIAL1
RIC8A
AC139143.1
SSU72P2
TIMM10B
SNORA23
AC116535.2
ZBED5
AL078612.3
AL049714.1
HIPK3
ZNF408
TRIM51CP
UBTFL7
AC084851.2
TRIM51FP
TRIM51
CLP1
NXF1
AP001266.2
EIF1AD
ZNF705E
AP000577.2
AP001085.1
THAP12
AP002812.2
AP002812.1
UBTFL2
AP004833.1
TRIM53BP
TRIM51BP
TRIM53AP
UBTFL1
SRSF8
ALKBH8
GRAMD1B
MSANTD2
ELOBP2
VAMP1
AC125494.3
ZNF705A
AC007655.1
AC026310.2
H1-7
RHEBL1
AC125611.2
ATG101
HOXC10
SCAT2
ORMDL2
DDIT3
CTDSP2
AC048341.2
LINC02384
FRS2
AC090679.2
TMEM263
AC126177.5
AC126177.6
PPTC7
MAP1LC3B2
NRAV
CCDC62
SBNO1
KMT5A
MIPEPP3
UBE2L5
USPL1
CCNA1
LINC00437
KBTBD6
AL158196.1
CAB39L
DLEU7
LINC00448
PPP1R2P10
DIS3
RAP2A
AL442067.1
H2AZP3
ING1
MIR548AR
LINC01297
PIP4P1
BCL2L2-PABPN1
RNU7-41P
TRAPPC6B
PNN
AL049870.3
RPL10L
STYX
BMP4
RPSAP13
ATG14
HSPA2
MPP5
AL157789.1
RBM25
DNAL1
AC005520.5
RPSAP3
PPP4R3A
UBR7
AL163051.1
CCNK
EIF5
SNORA28
IGHM
NBEAP1
AC100757.2
AC103988.1
CDAN1
MFAP1
EIF3J-DT
BNIP2
PIGHP1
AC092755.2
AC009560.4
SNORA24B
RNU5A-1
AC105036.3
TLNRD1
MEX3B
SNHG21
AC104046.1
POLR3K
MPG
C16orf91
AL031710.2
RPL3L
AC106820.6
AC093525.8
ERVK13-1
TNFRSF12A
ZSCAN32
AC020663.3
C16orf72
MARF1
SMG1
AC008870.2
RBBP6
AC009086.2
MIR762HG
FBXL19-AS1
MYLK3
UBA52P8
AC023818.1
CBLN1
AC007610.4
AC007608.4
IRX5
POLR2C
CFAP20
AC027682.1
CTCF
THAP11
NIP7
AP1G1
SNORD71
IST1
AC004158.1
TERF2IP
AC025287.4
DUXB
ATP5PBP7
CPHXL
AC092718.6
FBXO31
MAP1LC3B
RPS4XP17
SMG6
AC233723.2
MED31
CHRNB1
RNF227
LINC00324
AC107926.1
ALDOC
AC023389.3
AC243829.2
ZNHIT3
C17orf98
AC009283.1
KLHL11
ARL4D
TMUB2
DBF4B
GIP
GNGT2
DDX5
AC007448.3
RPL36AP48
NOL11
SLC16A6
GRB2
MFSD11
AFMID
EIF4A3
AC139530.1
ALYREF
AP005210.2
AC090936.1
AC016382.1
AC090241.2
PMAIP1
AC068473.5
AC009005.1
AC012615.1
GADD45B
STAP2
C3
ADGRE1
AC025278.2
MBD3L2B
MBD3L5
MBD3L2
MBD3L3
SNAPC2
FBXL12
EPOR
ZNF823
ZNF878
ZNF791
WDR83
DDX39A
CLEC17A
AKAP8
FAM32A
AC008764.6
MED26
AC010463.3
PLVAP
ARRDC2
MAST3
AC011447.2
ZNF723
BNIP3P35
ZNF728
CCNE1
AC008556.1
AC092295.2
AC092295.1
AC020928.1
ZNF790-AS1
CLC
LEUTX
SERTAD1
SERTAD3
AC243960.3
RELB
RTN2
ZC3H4
KPTN
TPRX1
TPRX2P
LINC01595
NOSIP
TSKS
ZNF473
KLK10
KLK11
TFPT
TNNI3
COX6B2
RFPL4A
RFPL4AL1
ZSCAN5B
AC005498.2
ZIM3
DUXA
ZSCAN4
VN2R19P
AC008969.2
RPS15AP36
AC020915.1
FASTKD5
PPIAP2
AL121904.2
AL121904.1
COX4I2
SPAG4
CTNNBL1
AL139351.3
ARPC3P1
ZNFX1
TFAP2C
LINC01056
NCOR1P4
RPL39P40
C21orf91
AL109761.1
KRT18P2
AP000474.1
SCAF4
DIP2A-IT1
PSLNR
AC245517.4
ZNF280A
PRAME
Z95115.1
TTC28-AS1
RFPL1
CABP7
ZMAT5
AC004882.4
TCN2
SELENOM
RFPL2
Z73495.1
LGALS1
PMM1
Z83840.2
AL008718.3
FAM9A
KLHL15
SYTL5
DDX3X
ZNF157
SSX6P
SSX1
AC245047.8
TLE1P1
GCNA
BX276092.9
RLIM
SH3BGRL
BTK
SLC25A53
CT83
AL772284.2
CT47B1
AL450472.1
INTS6L
RBMX
GPR50
BX546450.2
BX546450.1
MAGEA3
CSAG1
MAGEA12
MAGEA6
AC244102.3
MAGEA1
CCNQ
MT-TD
MT-TS2
MT-TT
