sample	group
SRR23635575	hESC
SRR25690004	hESC
SRR25690003	hESC
SRR23635564	hTBLC
SRR23635562	hTBLC
SRR23635563	hTBLC
SRR23635560	hTBLC
SRR23635561	hTBLC
