sample	group
SRR15731253	TPS
SRR15731254	TPS
SRR15731255	TPS
SRR15731256	TPS
SRR15731257	TPS
SRR15731258	TPS
SRR15731259	EPS
SRR15731260	EPS
SRR15731261	EPS
SRR15731262	EPS
SRR15731263	EPS
SRR15731264	EPS
